config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_33,0.3,1e-05,128,1024,0.0,1,knn,0.76
config_34,0.7,1e-05,128,1024,0.0,0,mlp,0.8
config_31,0.3,1e-05,256,1024,0.0,3,mlp,0.8
config_32,0.7,1e-05,256,1024,0.0,0,knn,0.8666666666666668
config_33,0.3,1e-05,128,1024,0.0,3,mlp,0.6
config_32,0.7,1e-05,256,1024,0.0,4,knn,0.8333333333333333
config_34,0.7,1e-05,128,1024,0.0,4,knn,0.8666666666666666
config_33,0.3,1e-05,128,1024,0.0,3,knn,0.8
config_34,0.7,1e-05,128,1024,0.0,2,mlp,0.5666666666666667
config_35,0.3,0.001,512,256,0.0,0,mlp,0.8666666666666666
config_33,0.3,1e-05,128,1024,0.0,4,knn,0.8333333333333333
config_34,0.7,1e-05,128,1024,0.0,1,mlp,0.5599999999999999
config_35,0.3,0.001,512,256,0.0,1,knn,0.7266666666666666
config_34,0.7,1e-05,128,1024,0.0,3,mlp,0.6
config_35,0.3,0.001,512,256,0.0,0,knn,0.9333333333333332
config_34,0.7,1e-05,128,1024,0.0,2,knn,0.7833333333333333
config_33,0.3,1e-05,128,1024,0.0,2,knn,0.8
config_34,0.7,1e-05,128,1024,0.0,0,knn,0.76
config_30,0.7,0.001,256,1024,0.0,2,mlp,0.8333333333333333
config_34,0.7,1e-05,128,1024,0.0,4,mlp,0.5933333333333334
config_31,0.3,1e-05,256,1024,0.0,4,knn,0.8333333333333333
config_31,0.3,1e-05,256,1024,0.0,1,knn,0.76
config_35,0.3,0.001,512,256,0.0,1,mlp,0.6866666666666666
config_35,0.3,0.001,512,256,0.0,2,knn,0.8047619047619048
config_34,0.7,1e-05,128,1024,0.0,3,knn,0.8
config_32,0.7,1e-05,256,1024,0.0,3,knn,0.8
config_34,0.7,1e-05,128,1024,0.0,1,knn,0.76
config_35,0.3,0.001,512,256,0.0,2,mlp,0.738095238095238
config_35,0.3,0.001,512,256,0.0,3,mlp,0.8
config_32,0.7,1e-05,256,1024,0.0,1,mlp,0.5666666666666667
config_36,0.7,0.001,512,256,0.0,2,mlp,0.8047619047619048
config_36,0.7,0.001,512,256,0.0,0,knn,0.9714285714285712
config_36,0.7,0.001,512,256,0.0,0,mlp,0.7142857142857142
config_37,0.3,1e-05,512,256,0.0,4,mlp,0.8333333333333333
config_35,0.3,0.001,512,256,0.0,4,mlp,0.66
config_37,0.3,1e-05,512,256,0.0,0,knn,0.8
config_35,0.3,0.001,512,256,0.0,4,knn,0.6866666666666668
config_37,0.3,1e-05,512,256,0.0,3,knn,0.8
config_33,0.3,1e-05,128,1024,0.0,0,knn,0.8
config_36,0.7,0.001,512,256,0.0,1,knn,0.698095238095238
config_37,0.3,1e-05,512,256,0.0,1,mlp,0.4933333333333333
config_37,0.3,1e-05,512,256,0.0,3,mlp,0.7333333333333333
config_37,0.3,1e-05,512,256,0.0,0,mlp,0.5047619047619047
config_38,0.7,1e-05,512,256,0.0,0,mlp,0.5047619047619047
config_38,0.7,1e-05,512,256,0.0,0,knn,0.7333333333333333
config_37,0.3,1e-05,512,256,0.0,1,knn,0.76
config_36,0.7,0.001,512,256,0.0,3,mlp,0.7
config_38,0.7,1e-05,512,256,0.0,1,knn,0.76
config_36,0.7,0.001,512,256,0.0,3,knn,0.8666666666666666
config_37,0.3,1e-05,512,256,0.0,2,knn,0.7333333333333333
config_36,0.7,0.001,512,256,0.0,4,knn,0.7933333333333332
config_36,0.7,0.001,512,256,0.0,1,mlp,0.6028571428571429
config_36,0.7,0.001,512,256,0.0,4,mlp,0.7266666666666667
